09-23-2017 13:28:36.656,-,AT,"ERROR,0000EEB0000026D1,XBEE-PRO XSC (S3B) 19200,3111,COM5 - 9600/8/N/1/N,10"

09-23-2017 13:28:36.687,4885,RECV,5F5455524E204C4546540A0A0D0A496E74656E64656420616E676C653A203138302E30300D0A4F66667365742066726F6D20696E74656E64656420616E
09-23-2017 13:28:36.765,4886,RECV,676C653A202D3135332E30300D0A5361696C20616E676C653A2037342E30300D0A5461696C20616E676C653A2038392E30300D0A2D2D2D2D2D2D2D2D2D2D
09-23-2017 13:28:36.796,4887,RECV,526F746172792053656E736F722D2D2D2D2D2D2D2D2D2D0A43757272656E742077696E642072656164696E6720772E722E7420426F61743A203333340D0A
09-23-2017 13:28:36.859,4888,RECV,494D5520537475636B210D0A4C617469747564653A2034322E343434363133333333300D0A4C6F6E6769747564653A202D37362E343833343933313637
09-23-2017 13:28:36.921,4889,RECV,300D0A57696E6420772E722E74204E6F7274683A203237302E30300D0A426F617420646972656374696F6E3A2032372E30370D0A2D2D2D2D2D2D2D2D2D2D
09-23-2017 13:28:36.984,4890,RECV,4E415649474154494F4E2D2D2D2D2D2D2D2D2D2D0D0A4E65787420576179706F696E742023303A2034322E343434363132303030302C202D37362E3438
09-23-2017 13:28:37.046,4891,RECV,33343932303030300D0A464143494E4720524947485420444952454354204C4546540D0A0A0A496E74656E64656420536563746F723A205F5F5F5F5F5F5F
09-23-2017 13:28:37.109,4892,RECV,5F5F5455524E204C4546540A0A0D0A496E74656E64656420616E676C653A203138302E30300D0A4F666673657420
09-23-2017 13:28:37.171,4893,RECV,66726F6D20696E74656E64656420616E676C653A202D3135332E30300D0A5361696C20616E676C653A2037342E30300D0A5461696C20616E676C653A2038
09-23-2017 13:28:37.234,4894,RECV,392E30300D0A2D2D2D2D2D2D2D2D2D2D526F746172792053656E736F722D2D2D2D2D2D2D2D2D2D0A43757272656E742077696E642072656164696E6720
09-23-2017 13:28:37.297,4895,RECV,772E722E7420426F61743A203333340D0A494D5520537475636B210D0A4C617469747564653A2034322E343434363133353030300D0A4C6F6E6769747564
09-23-2017 13:28:37.359,4896,RECV,653A202D37362E343833343937353030300D0A57696E6420772E722E74204E6F7274683A203237302E30300D0A426F617420646972656374696F6E3A20
09-23-2017 13:28:37.421,4897,RECV,32372E30340D0A2D2D2D2D2D2D2D2D2D2D4E415649474154494F4E2D2D2D2D2D2D2D2D2D2D0D0A4E65787420576179706F696E742023303A2034322E3434
09-23-2017 13:28:37.484,4898,RECV,34363132303030302C202D37362E343833343932303030300D0A464143494E4720524947485420424F54544F4D204C4546540D0A0A0A496E74656E646564
09-23-2017 13:28:37.546,4899,RECV,20536563746F723A20424F54544F4D2052494748540A0A0D0A496E74656E64656420616E676C653A203339302E30300D0A4F66667365742066726F6D20
09-23-2017 13:28:37.609,4900,RECV,696E74656E64656420616E676C653A202D3336332E30300D0A5361696C20616E676C653A203235342E30300D0A5461696C20616E676C653A202D3132312E
09-23-2017 13:28:37.671,4901,RECV,30300D0A2D2D2D2D2D2D2D2D2D2D526F746172792053656E736F722D2D2D2D2D2D2D2D2D2D0A43757272656E742077696E642072656164696E6720772E
09-23-2017 13:28:37.734,4902,RECV,722E7420426F61743A203333340D0A494D5520537475636B210D0A4C617469747564653A2034322E343434363133353030300D0A4C6F6E6769747564653A
09-23-2017 13:28:37.797,4903,RECV,202D37362E343833343937353030300D0A57696E6420772E722E74204E6F7274683A203237302E30300D0A426F61
09-23-2017 13:28:37.859,4904,RECV,7420646972656374696F6E3A2032372E30350D0A2D2D2D2D2D2D2D2D2D2D4E415649474154494F4E2D2D2D2D2D2D2D2D2D2D0D0A4E65787420576179706F
09-23-2017 13:28:37.922,4905,RECV,696E742023303A2034322E343434363132303030302C202D37362E343833343932303030300D0A464143494E4720524947485420424F54544F4D204C45
09-23-2017 13:28:37.984,4906,RECV,46540D0A0A0A496E74656E64656420536563746F723A20424F54544F4D2052494748540A0A0D0A496E74656E64656420616E676C653A203339302E30300D
09-23-2017 13:28:38.062,4907,RECV,0A4F66667365742066726F6D20696E74656E64656420616E676C653A202D3336332E30300D0A5361696C20616E676C653A203235342E30300D0A5461696C
09-23-2017 13:28:38.109,4908,RECV,20616E676C653A202D3132312E30300D0A2D2D2D2D2D2D2D2D2D2D526F746172792053656E736F722D2D2D2D2D2D2D2D2D2D0A43757272656E74207769
09-23-2017 13:28:38.234,4909,RECV,6E642072656164696E6720772E722E7420426F61743A203333340D0A494D5520537475636B210D0A4C617469747564653A2034322E343434363132333333
09-23-2017 13:28:38.234,4910,RECV,300D0A4C6F6E6769747564653A202D37362E343833343935353030300D0A57696E6420772E722E74204E6F7274683A203237302E30300D0A426F617420
09-23-2017 13:28:38.296,4911,RECV,646972656374696F6E3A2032372E30380D0A2D2D2D2D2D2D2D2D2D2D4E415649474154494F4E2D2D2D2D2D2D2D2D2D2D0D0A4E65787420576179706F696E
09-23-2017 13:28:38.359,4912,RECV,742023303A2034322E343434363132303030302C202D37362E343833343932303030300D0A464143494E4720524947485420424F54544F4D205249474854
09-23-2017 13:28:38.421,4913,RECV,0D0A0A0A496E74656E64656420536563746F723A20424F54544F4D2052494748540A0A0D0A496E74656E64656420
09-23-2017 13:28:38.484,4914,RECV,616E676C653A203339302E30300D0A4F66667365742066726F6D20696E74656E64656420616E676C653A202D3336332E30300D0A5361696C20616E676C
09-23-2017 13:28:38.547,4915,RECV,653A203235342E30300D0A5461696C20616E676C653A202D3132312E30300D0A2D2D2D2D2D2D2D2D2D2D526F746172792053656E736F722D2D2D2D2D2D2D
09-23-2017 13:28:38.609,4916,RECV,2D2D2D0A43757272656E742077696E642072656164696E6720772E722E7420426F61743A203333340D0A494D5520537475636B210D0A4C61746974756465
09-23-2017 13:28:38.672,4917,RECV,3A2034322E343434363132333333300D0A4C6F6E6769747564653A202D37362E343833343935353030300D0A57696E6420772E722E74204E6F7274683A
09-23-2017 13:28:38.734,4918,RECV,203237302E30300D0A426F617420646972656374696F6E3A2032372E31350D0A2D2D2D2D2D2D2D2D2D2D4E415649474154494F4E2D2D2D2D2D2D2D2D2D2D
09-23-2017 13:28:38.796,4919,RECV,0D0A4E65787420576179706F696E742023303A2034322E343434363132303030302C202D37362E343833343932303030300D0A464143494E4720524947
09-23-2017 13:28:38.875,4920,RECV,485420424F54544F4D2052494748540D0A0A0A496E74656E64656420536563746F723A20424F54544F4D2052494748540A0A0D0A496E74656E6465642061
09-23-2017 13:28:38.922,4921,RECV,6E676C653A203339302E30300D0A4F66667365742066726F6D20696E74656E64656420616E676C653A202D3336332E30300D0A5361696C20616E676C653A
09-23-2017 13:28:38.984,4922,RECV,203235342E30300D0A5461696C20616E676C653A202D3132312E30300D0A2D2D2D2D2D2D2D2D2D2D526F746172792053656E736F722D2D2D2D2D2D2D2D
09-23-2017 13:28:39.047,4923,RECV,2D2D0A43757272656E742077696E642072656164696E6720772E722E7420426F61743A203333340D0A494D5520537475636B210D0A4C617469747564653A
09-23-2017 13:28:39.109,4924,RECV,2034322E343434363132333333300D0A4C6F6E6769747564653A202D37362E343833343935353030300D0A57696E
09-23-2017 13:28:39.172,4925,RECV,6420772E722E74204E6F7274683A203237302E30300D0A426F617420646972656374696F6E3A2032372E31360D0A2D2D2D2D2D2D2D2D2D2D4E4156494741
09-23-2017 13:28:39.234,4926,RECV,54494F4E2D2D2D2D2D2D2D2D2D2D0D0A4E65787420576179706F696E742023303A2034322E343434363132303030302C202D37362E3438333439323030
09-23-2017 13:28:39.297,4927,RECV,30300D0A464143494E4720524947485420424F54544F4D2052494748540D0A0A0A496E74656E64656420536563746F723A20424F54544F4D205249474854
09-23-2017 13:28:39.359,4928,RECV,0A0A0D0A496E74656E64656420616E676C653A203339302E30300D0A4F66667365742066726F6D20696E74656E64656420616E676C653A202D3336332E
09-23-2017 13:28:39.422,4929,RECV,30300D0A5361696C20616E676C653A203235342E30300D0A5461696C20616E676C653A202D3132312E30300D0A2D2D2D2D2D2D2D2D2D2D526F7461727920
09-23-2017 13:28:39.484,4930,RECV,53656E736F722D2D2D2D2D2D2D2D2D2D0A43757272656E742077696E642072656164696E6720772E722E7420426F61743A203333340D0A494D5520537475
09-23-2017 13:28:39.547,4931,RECV,636B210D0A4C617469747564653A2034322E343434363134313637300D0A4C6F6E6769747564653A202D37362E343833343938303030300D0A57696E64
09-23-2017 13:28:39.609,4932,RECV,20772E722E74204E6F7274683A203237302E30300D0A426F617420646972656374696F6E3A2032372E31370D0A2D2D2D2D2D2D2D2D2D2D4E415649474154
09-23-2017 13:28:39.672,4933,RECV,494F4E2D2D2D2D2D2D2D2D2D2D0D0A4E65787420576179706F696E742023303A2034322E343434363132303030302C202D37362E343833343932303030
09-23-2017 13:28:39.734,4934,RECV,300D0A464143494E4720524947485420424F54544F4D204C4546540D0A0A0A496E74656E64656420536563746F723A
09-23-2017 13:28:39.797,4935,RECV,20424F54544F4D2052494748540A0A0D0A496E74656E64656420616E676C653A203339302E30300D0A4F66667365742066726F6D20696E74656E646564
09-23-2017 13:28:39.859,4936,RECV,20616E676C653A202D3336332E30300D0A5361696C20616E676C653A203235342E30300D0A5461696C20616E676C653A202D3132312E30300D0A2D2D2D2D
09-23-2017 13:28:39.922,4937,RECV,2D2D2D2D2D2D526F746172792053656E736F722D2D2D2D2D2D2D2D2D2D0A43757272656E742077696E642072656164696E6720772E722E7420426F6174
09-23-2017 13:28:39.984,4938,RECV,3A203333340D0A494D5520537475636B210D0A4C617469747564653A2034322E343434363134313637300D0A4C6F6E6769747564653A202D37362E343833
09-23-2017 13:28:40.047,4939,RECV,343938303030300D0A57696E6420772E722E74204E6F7274683A203237302E30300D0A426F617420646972656374696F6E3A2032372E32350D0A2D2D2D2D
09-23-2017 13:28:40.109,4940,RECV,2D2D2D2D2D2D4E415649474154494F4E2D2D2D2D2D2D2D2D2D2D0D0A4E65787420576179706F696E742023303A2034322E343434363132303030302C20
09-23-2017 13:28:40.172,4941,RECV,2D37362E343833343932303030300D0A464143494E4720524947485420424F54544F4D204C4546540D0A0A0A496E74656E64656420536563746F723A2042
